price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,zipcode,lat,long
2.14E+06,4,3.75,5150,453895,2,3,11,790,1997,98053,47.6795,-121.991
569950,4,3.5,2700,443440,1.5,3,8,0,1948,98042,47.333,-122.098
950000,4,3,3230,438213,2,3,9,0,1999,98070,47.4141,-122.47
330000,2,2,1550,435600,1.5,2,7,0,1972,98065,47.5145,-121.853
525000,3,2.25,2040,435600,2,4,7,0,1983,98022,47.2328,-121.945
575000,3,2,2690,435600,2,3,8,0,1992,98070,47.3477,-122.519
745000,3,2.5,2810,435600,2,3,9,0,1995,98045,47.4816,-121.701
480000,4,3.5,3370,435600,2,3,9,0,2005,98045,47.4398,-121.738
1.08E+06,3,3,4020,435600,1.5,3,10,0,1999,98045,47.4418,-121.731
859000,3,2.5,2920,434728,2,4,8,0,1999,98042,47.3809,-122.13
790000,3,2.5,2640,432036,1.5,3,10,0,1996,98022,47.1795,-122.036
450000,3,2.5,2880,426452,2,3,7,0,1979,98092,47.2485,-122.101
390500,2,1.75,1460,426450,1,5,7,500,1966,98022,47.2079,-121.967
302000,2,1,900,423838,1,5,6,0,1925,98022,47.228,-122.088
858000,4,3.5,4370,422967,1,4,10,1790,1978,98022,47.2332,-122.029
1.13E+06,4,3.25,3890,422096,1.5,3,9,740,2001,98038,47.4125,-121.982
472000,3,2.5,1860,415126,2,3,7,0,2006,98038,47.3974,-122.005
495000,4,3,3620,403693,2,3,9,0,1980,98022,47.2527,-121.98
474000,2,1,1050,403365,1,5,6,0,1905,98022,47.2221,-122.059
835000,2,3.25,3570,392475,1,3,9,1200,1998,98024,47.5448,-121.93
230000,3,1,1530,389126,1.5,4,7,0,1919,98022,47.1776,-122.011
649950,3,2.5,3310,387684,1,3,8,1150,1919,98038,47.4167,-121.936
438950,4,2.5,2470,385506,2,3,7,0,1991,98022,47.2396,-121.993
659000,3,2.5,3090,384634,2,3,8,0,2007,98019,47.7072,-121.927
560000,3,1.75,1480,383328,1.5,3,8,0,1980,98019,47.7192,-121.932
649500,3,3,3730,383328,1.5,4,9,1500,1990,98038,47.4257,-122.03
580000,3,2.5,1820,374616,2,3,7,0,1999,98014,47.6539,-121.959
355000,2,1,1350,368517,1,3,6,0,1947,98077,47.7617,-122.061
356000,2,1,1430,365904,1,3,7,420,1991,98065,47.513,-121.857
979500,4,3.75,4133,361548,2,3,11,0,2000,98019,47.7479,-121.972
617000,3,1.75,3020,360241,2,3,8,0,1992,98092,47.2662,-122.088
430000,3,1.5,1810,349351,1.5,3,7,0,2002,98010,47.3392,-121.897
327000,3,1.5,1510,344124,1,4,7,0,1964,98022,47.2156,-122.029
590000,4,2,2490,339332,1,3,8,0,2002,98022,47.2725,-121.929
1.70E+06,4,3.5,4070,336283,2,3,11,0,2006,98027,47.478,-122.038
432000,5,2.75,2060,329903,1.5,5,7,0,1989,98022,47.1776,-121.944
630000,3,2.5,2680,327135,2,3,8,0,1995,98010,47.3783,-122.003
765000,3,2.25,3190,324086,2,3,9,0,1982,98024,47.5477,-121.93
1.57E+06,4,3.5,5370,323215,2,3,10,0,2002,98075,47.6003,-122.076
800000,4,2.75,4600,322188,1,3,10,2200,1989,98045,47.4626,-121.739
525000,5,3.25,3960,321908,2,4,9,1270,1989,98038,47.3984,-122.055
1.86E+06,4,5.25,5240,320917,2,3,10,0,2006,98024,47.5605,-121.905
921500,4,2.5,3670,315374,2,4,9,0,1994,98077,47.7421,-122.026
408000,3,1.75,1600,313672,1,4,7,0,1960,98058,47.4129,-122.08
729000,3,4.25,3300,308080,2,4,9,780,1976,98070,47.3979,-122.416
2.28E+06,7,8,13540,307752,3,3,12,4130,1999,98053,47.6675,-121.986
210000,3,1,1340,306848,1,3,5,0,1953,98019,47.7534,-121.912
533050,2,1,910,295772,1,3,5,0,1953,98042,47.3752,-122.11
688000,4,3,3400,292723,2,3,10,0,1998,98045,47.4883,-121.725
411000,4,1.75,2250,292288,1,4,7,0,1963,98042,47.3787,-122.091
1.29E+06,5,3.5,4090,290980,1,3,11,1170,2002,98034,47.7161,-122.219
295000,2,1,820,288367,1,3,6,0,1930,98042,47.4196,-122.165
250000,3,1.75,1628,286355,1,3,7,0,1996,98092,47.2558,-122.122
579000,3,2.5,3160,286181,2,3,9,0,2002,98010,47.3401,-121.946
760000,4,2.75,3980,285318,2,3,9,0,2006,98045,47.4803,-121.795
1.01E+06,4,4.5,4225,284011,2,4,11,0,1985,98074,47.6118,-122.024
649000,2,1.75,2260,280962,2,3,9,370,2005,98014,47.6359,-121.94
1.49E+06,5,6,6880,279968,2,3,12,2810,2007,98045,47.4624,-121.779
565000,2,1.75,1130,276170,1,3,8,0,2006,98022,47.2673,-122.027
950000,3,2.5,2780,275033,1,3,10,0,2006,98045,47.4496,-121.766
350000,3,1.75,1980,273556,1,3,6,940,1956,98042,47.4012,-122.11
467500,3,1.75,2040,273556,1,3,7,0,1997,98070,47.4361,-122.469
1.04E+06,4,4.5,4920,270236,2,3,10,1100,2006,98045,47.4695,-121.775
833450,5,4,4460,269345,2,3,9,1130,1996,98027,47.4992,-122.06
353000,4,2.75,2200,268329,1,3,7,790,1989,98092,47.3224,-122.122
549950,3,1.75,2930,266587,2,3,8,490,1995,98014,47.6991,-121.947
510000,3,2,2350,266151,1.5,3,7,0,1983,98014,47.6609,-121.892
568000,4,1.75,2110,265716,1,4,8,0,1979,98053,47.657,-122.026
524500,3,1.5,3430,264844,1,3,7,1200,1988,98045,47.4476,-121.723
1.07E+06,3,2.5,3970,263538,1.5,3,9,0,1991,98024,47.6067,-121.952
1.15E+06,4,3.25,4400,262666,2,3,11,0,1988,98075,47.5927,-122.064
550000,5,1,2150,262231,1.5,3,7,0,1900,98065,47.5519,-121.803
390000,4,3,2570,262018,1,3,7,1150,1988,98058,47.4417,-122.09
950000,5,3,4530,258746,1.5,4,9,1330,2003,98077,47.7702,-122.066
361550,3,1.75,1160,257875,1,2,7,0,1980,98059,47.4655,-122.072
650000,3,2,2660,257875,1,4,8,1130,1976,98024,47.553,-121.887
875000,4,2.5,3230,256132,2,3,9,0,2006,98053,47.6544,-121.998
820000,4,2.5,2920,252648,2,3,10,0,2002,98027,47.4784,-122.048
777700,3,2.5,2260,251460,1.5,3,10,0,1995,98070,47.4096,-122.449
439000,3,2,2010,251341,2,3,8,500,2003,98019,47.7416,-121.91
390000,3,1.75,2092,250905,1,3,7,0,1981,98022,47.2664,-122.027
350000,3,1.75,1680,250470,1,4,7,610,1940,98019,47.7624,-121.93
420000,3,1.75,1444,249126,1.5,3,7,0,2008,98070,47.4104,-122.486
487000,6,3.25,4750,248600,2,4,8,0,1947,98022,47.1879,-121.973
712000,4,2.5,3400,247421,2,3,9,0,2001,98010,47.3623,-121.971
739000,4,2.5,2800,246114,2,3,9,0,1999,98014,47.6586,-121.962
675000,4,2.5,3320,244807,2,3,9,0,2001,98010,47.3637,-121.955
1.14E+06,6,4.25,6900,244716,2,4,9,2080,2002,98077,47.7506,-122.012
590000,3,1.75,1560,242629,1,3,7,0,1981,98053,47.6493,-121.956
775000,4,3.25,4100,241322,2,3,9,1600,1981,98072,47.7302,-122.096
775000,3,2.5,2620,241200,1.5,4,9,0,1998,98027,47.4574,-122.01
850000,4,2.75,5440,239580,1,2,9,2720,1969,98001,47.354,-122.293
234000,3,1,1240,239144,1,3,6,0,1921,98038,47.4303,-122.046
600000,3,2,2540,237402,1,3,9,0,2007,98022,47.2688,-122.024
905000,3,2.5,3520,237402,2.5,3,9,0,2004,98092,47.2687,-122.056
568000,3,1.75,1760,235224,1,3,7,0,1973,98053,47.6735,-122.041
293000,4,2.5,3250,235063,1,3,9,0,1973,98092,47.2582,-122.113
721500,3,3.25,2970,234788,2,3,9,930,1991,98024,47.5353,-121.897
475000,4,3.5,3400,234352,2,3,8,900,1991,98070,47.4335,-122.449
435000,3,2,2570,233481,1.5,4,8,0,1986,98038,47.4199,-122.034
780000,4,2.75,3640,231739,1.5,3,10,0,1999,98027,47.5078,-122.018
413100,3,2.25,1790,231303,1,3,7,540,1980,98077,47.7558,-122.027
599000,4,2.5,2790,230868,2,3,8,0,1989,98077,47.7647,-122.019
1.92E+06,5,5.75,7730,230868,2,3,12,1070,2004,98077,47.7615,-122.084
1.60E+06,6,5,6050,230652,2,3,11,0,2001,98024,47.6033,-121.943
475000,3,1.5,1790,229125,2,3,7,0,1987,98022,47.2309,-122.009
640000,6,2,2840,228690,1.5,3,6,120,1948,98019,47.7158,-121.966
540000,4,2.25,2540,228254,1,3,8,1090,1990,98019,47.719,-121.912
819000,3,2.5,2750,226512,2,3,9,0,2000,98070,47.4376,-122.456
442500,5,3.25,4240,226097,2,3,8,830,1980,98053,47.6472,-122.017
900000,5,3.75,4130,226076,2,3,9,960,1985,98077,47.715,-122.065
535000,2,1.75,1780,224769,1,4,8,0,1976,98038,47.4158,-122.002
400000,2,1.75,1800,224769,1,3,7,380,1950,98038,47.4327,-122.06
1.69E+06,3,3.25,5290,224442,2,4,11,750,1988,98053,47.6671,-122.051
1.80E+06,3,3.25,5290,224442,2,4,11,750,1988,98053,47.6671,-122.051
475000,2,1.75,1490,224334,1,3,8,0,1983,98092,47.2645,-122.163
365000,2,1,960,223898,1,3,6,0,1985,98014,47.6668,-121.892
753000,3,2.5,3070,223463,2,3,9,0,2003,98053,47.664,-121.993
220000,3,1,1000,223462,1,4,6,0,1933,98022,47.2099,-122.043
472500,4,2.5,2960,223462,2,3,10,0,2001,98030,47.3646,-122.211
1.94E+06,4,5.75,7220,223462,2,3,12,1000,2000,98053,47.7097,-122.013
439950,3,1.75,1720,223377,1,3,7,480,1950,98019,47.7329,-121.92
920000,3,2.75,2590,223027,2,3,9,0,1983,98074,47.6145,-122.001
579000,3,2.75,2660,223027,1,3,8,1330,1962,98038,47.4127,-122.071
474950,3,2,2250,222156,1,3,7,0,1987,98065,47.542,-121.792
650000,4,2.5,3420,222156,2,3,9,0,2002,98010,47.3608,-121.97
610000,3,1.75,1650,221720,1,3,7,0,1992,98024,47.5297,-121.901
800000,3,3.5,3830,221284,2,3,10,300,1993,98077,47.7641,-122.023
530000,3,2.25,2190,220414,1,4,7,860,1976,98059,47.5041,-122.102
620000,4,2.5,1840,220308,2,3,8,0,2000,98038,47.4306,-122.049
695000,3,2.25,2600,220300,1.5,5,8,480,1977,98027,47.4562,-122.016
350000,3,1.5,1250,219978,1,4,6,0,1980,98038,47.4056,-121.955
515000,3,2.5,2130,219978,2,3,8,0,1986,98077,47.7754,-122.032
685000,3,2.5,2320,219978,2,4,8,0,1993,98053,47.6847,-122.064
685000,3,2.75,3150,219978,2,4,9,150,1990,98024,47.553,-121.946
365000,4,2.5,1620,219542,2,3,7,0,1980,98038,47.4014,-122.069
510000,3,2.25,2750,219542,2,3,7,880,1981,98014,47.6367,-121.948
1.15E+06,6,4.5,6040,219542,2,3,11,1940,1996,98029,47.5622,-122.003
520000,3,1.75,1940,219527,1,3,7,0,1991,98038,47.4214,-122.02
352500,4,2.5,2300,219106,1,4,7,460,1958,98038,47.4044,-121.963
865000,3,3.75,3830,219106,2,3,9,0,1977,98027,47.5432,-121.952
725000,4,2.5,3750,218506,2,3,10,0,1991,98092,47.3045,-122.103
487500,5,3.5,3530,218472,2,3,7,1150,1999,98019,47.7309,-121.905
330000,3,2,1400,218252,1,3,7,0,1997,98019,47.7576,-121.934
710000,3,2.75,2930,218235,2,3,8,0,1990,98024,47.5481,-121.886
590000,3,2.5,3360,218235,1,3,8,0,1989,98014,47.6601,-121.946
897500,4,3,4370,217882,2,3,10,0,1984,98053,47.6573,-122.034
314000,3,1.75,1350,217852,1,3,8,250,1953,98022,47.2628,-122.03
565000,3,2.5,2030,217805,1,3,9,0,1999,98070,47.3942,-122.515
290000,2,1,1120,217800,1,3,6,0,1976,98019,47.7378,-121.912
505000,3,1.5,1830,217800,1,3,7,820,1981,98053,47.6277,-121.972
440000,3,2,1860,217800,2,3,8,0,1998,98059,47.5157,-122.107
529000,3,2.25,1940,217800,2,3,9,0,1990,98024,47.5636,-121.932
540000,3,2.25,2000,217800,2,3,8,0,1996,98024,47.5599,-121.911
395000,3,1.75,2030,217800,1,4,8,0,1977,98092,47.2618,-122.12
480000,5,1.75,2080,217800,1,5,7,0,1963,98070,47.3884,-122.404
543000,2,2,2370,217800,1.5,3,7,770,1992,98027,47.5007,-122.088
587000,3,2.25,2370,217800,2,3,7,0,1979,98053,47.6364,-121.984
608000,3,2,2400,217800,2,3,8,810,1975,98038,47.4166,-121.94
570000,4,3,2710,217800,2.5,3,9,0,2006,98022,47.2411,-121.932
559000,3,2.5,3110,217800,2,3,9,0,2001,98092,47.3281,-122.124
1.25E+06,4,3,3310,217800,1.5,3,9,0,1989,98053,47.6616,-121.999
900000,4,3,3810,217800,2,3,9,0,2003,98077,47.7696,-122.021
1.19E+06,4,3.5,4340,217800,2,3,11,0,2003,98053,47.6471,-122.013
1.14E+06,5,4,7320,217800,2,3,11,0,1992,98058,47.4473,-122.086
900000,3,3.5,4080,217697,1.5,3,10,0,2000,98092,47.2604,-122.139
1.50E+06,4,5.5,6550,217374,1,3,11,1150,2006,98058,47.4302,-122.095
404950,4,2.25,2340,217014,1,4,8,0,1982,98092,47.2953,-122.083
560000,3,2,2560,216777,1,3,8,0,1986,98092,47.295,-122.086
585000,3,1.75,2220,216493,1,3,8,0,1989,98014,47.6624,-121.951
560000,3,2.5,2840,216493,2,3,9,0,1991,98014,47.702,-121.892
345000,2,2.5,2550,216344,2.5,3,7,0,1993,98092,47.2584,-122.124
390000,3,1.75,1220,216332,1,3,7,0,1981,98019,47.7224,-121.926
500000,3,2.25,2990,216057,2,3,9,0,1994,98019,47.754,-121.942
490000,3,1.75,2020,215622,2,4,7,0,1975,98070,47.4189,-122.499
396400,4,2.5,2120,215186,2,2,7,0,1983,98014,47.701,-121.857
640000,4,2.5,4090,215186,2,4,8,420,1979,98092,47.2964,-122.116
1.83E+06,4,4.25,4500,215186,2,3,11,1870,2009,98029,47.559,-122.045
678500,4,3,2620,214750,2,3,8,0,1992,98058,47.4239,-122.068
643000,3,1.5,1780,214315,1,3,7,0,1954,98077,47.7631,-122.028
446250,3,2.5,2380,214315,1.5,3,9,0,2000,98045,47.4525,-121.748
400000,3,2.5,2580,214315,1.5,3,8,0,1946,98053,47.6465,-122.024
364250,3,2.5,2280,213879,2,3,8,0,1994,98038,47.4213,-122.033
549900,4,3,2830,213879,2,4,8,0,1987,98092,47.2925,-122.107
265000,0,0.75,384,213444,1,3,4,0,2003,98070,47.4177,-122.491
425000,3,1,1520,213444,1.5,5,8,0,1988,98027,47.5081,-122.093
579950,4,2.5,2880,213444,1,5,8,740,1984,98092,47.2887,-122.109
780000,4,3.5,3720,213073,1,3,10,0,2007,98010,47.3216,-121.94
200000,3,1,960,213008,1,2,6,0,1933,98024,47.5621,-121.862
430000,2,2,1440,213008,2,4,7,0,1990,98070,47.3604,-122.457
568000,3,1.75,1930,213008,1,3,7,630,1980,98053,47.6751,-121.993
506000,3,2.5,2100,213008,1,3,8,0,1990,98092,47.2984,-122.144
415000,4,2.5,2210,213008,1,4,7,1000,1975,98038,47.4039,-121.98
500000,4,2.75,3000,213008,1,4,8,0,1975,98038,47.4032,-121.982
598600,4,2.75,3470,212639,2,3,7,1400,1993,98019,47.7066,-121.968
150000,2,1,720,212137,1,3,5,0,1982,98058,47.422,-122.066
620000,3,2.25,2520,212137,2,3,9,930,2005,98019,47.7384,-121.878
750000,5,3.5,2990,212137,2,3,8,540,1994,98024,47.5298,-121.887
362000,1,1,890,211576,1.5,3,7,0,1996,98019,47.7216,-121.883
530000,3,3,2450,211266,1.5,3,8,0,2004,98022,47.2215,-122.067
400000,6,2,2320,210830,2,4,8,0,1962,98058,47.398,-122.081
775000,4,3.5,3970,210830,2,3,9,0,2000,98045,47.4614,-121.713
620000,4,2.5,2980,210395,2,3,9,0,2001,98045,47.4575,-121.707
1.65E+06,4,3.25,4200,210394,2,4,10,0,1993,98024,47.5607,-121.961
890000,4,3.25,4360,210254,1,3,10,2040,2000,98038,47.4375,-122.008
520000,4,3.5,2734,210201,2,5,8,0,1974,98070,47.3652,-122.504
270000,2,1.5,1380,209959,1,1,6,0,1954,98011,47.7461,-122.195
585000,3,2,2220,209523,1,3,7,0,1991,98019,47.7586,-121.911
799000,4,3,2580,209523,2,3,8,0,1984,98053,47.6932,-122.006
450000,5,2.5,2850,209523,1,4,7,920,1925,98058,47.3939,-122.089
810000,4,3.5,3980,209523,2,3,9,0,2006,98024,47.5574,-121.89
408506,3,2.75,2480,209199,1.5,3,8,610,2000,98010,47.3085,-121.888
539000,3,2,2350,209088,1,3,7,0,1993,98014,47.6527,-121.949
925000,4,2.5,3280,209088,2,3,10,0,1994,98053,47.6553,-122.023
500000,3,2.5,2110,208737,2,3,9,0,1977,98092,47.2674,-122.072
590000,3,2,2420,208652,1.5,3,8,0,2005,98010,47.3666,-121.978
495000,3,2.75,1830,208216,2,3,8,0,1997,98070,47.4377,-122.464
785000,3,2.75,2990,207781,2,3,9,0,2000,98014,47.662,-121.944
585000,3,2,3190,207346,2,3,9,0,1994,98022,47.2737,-122.015
1.02E+06,4,3.75,4690,207141,2,3,10,660,2007,98019,47.7072,-121.983
790000,3,3,2840,206910,2,3,10,0,1999,98059,47.469,-122.063
750000,3,2.75,3010,206910,2,3,10,0,2001,98045,47.4881,-121.721
589000,3,2.5,2660,206480,1,3,8,0,1989,98024,47.6042,-121.956
806000,4,2.5,2500,206474,1,3,10,0,1997,98053,47.6778,-121.994
540000,6,3,2870,206474,2,3,7,540,1960,98042,47.401,-122.095
437500,3,2.25,2100,205603,2,3,8,0,1983,98070,47.3668,-122.505
1.80E+06,4,3.5,6370,205603,2,3,12,0,2008,98027,47.5016,-121.905
415000,1,2,3000,204732,2.5,3,8,0,1979,98014,47.6331,-121.945
400000,4,2.5,2170,204296,1,4,7,0,1980,98022,47.281,-121.933
246000,3,2,1990,203861,1,3,7,0,1949,98022,47.2507,-122.039
755000,3,2.5,3680,203860,1.5,3,9,0,1994,98014,47.6903,-121.929
839000,3,2.5,3200,203425,1,3,10,0,2000,98077,47.7614,-122.015
682000,4,2.5,3600,203425,2,3,9,200,1979,98077,47.7597,-122.018
1.34E+06,4,4,5050,202554,2,3,10,1790,2000,98027,47.5269,-121.922
410000,3,2.25,2280,200811,1,3,7,0,1978,98014,47.6522,-121.941
449500,4,2,2430,199940,1,3,8,1120,1961,98038,47.4116,-122.029
700000,4,3,3350,199253,2,3,10,0,2004,98010,47.3602,-121.988
740000,4,3,3350,199253,2,3,10,0,2004,98010,47.3602,-121.988
692500,3,2.5,2420,198198,2,3,9,0,1997,98077,47.772,-122.022
363750,3,1.75,1726,197326,2,4,7,0,1982,98070,47.3484,-122.505
645000,3,2.5,2120,196995,1,3,9,0,1997,98070,47.4089,-122.459
799950,4,3.5,4220,196817,2,3,10,0,1993,98092,47.2642,-122.187
340000,3,1.75,1340,196020,1,4,7,0,1987,98010,47.2931,-121.992
890000,4,3.25,3180,194278,2,3,10,0,2005,98059,47.4711,-122.084
955000,4,4.25,5660,193593,2,3,10,1560,2001,98019,47.7064,-121.981
456000,5,2.75,2720,193406,1,4,7,1020,1968,98092,47.2838,-122.121
495000,3,2,2660,192099,1,4,9,0,1964,98022,47.2098,-122.016
545000,3,2.25,1780,191228,2,3,8,0,1988,98045,47.4575,-121.748
460000,4,2,1960,190357,1,2,8,0,1971,98027,47.5538,-121.958
1.06E+06,3,3.25,2990,189852,2,4,10,0,1974,98072,47.746,-122.138
299000,2,1,1070,189486,1,3,6,0,1942,98077,47.7199,-122.085
359950,3,1,1290,189486,1,4,7,0,1960,98092,47.3356,-122.157
400000,4,1.75,2670,189486,2,3,8,0,1972,98092,47.2585,-122.061
800000,6,4.25,5480,189050,2,4,10,340,1991,98031,47.412,-122.168
555000,3,3,3760,188760,1,4,10,1120,1979,98092,47.308,-122.087
316000,1,2,1780,188465,2,3,10,0,2001,98045,47.4506,-121.768
705000,2,2.5,2200,188200,1,3,8,0,2007,98022,47.2458,-122.002
600000,3,2.5,1350,187313,1,4,7,0,1997,98077,47.7369,-122.049
305000,2,1,1960,186872,1.5,4,6,0,1936,98001,47.2681,-122.267
687000,4,3.25,4400,186846,2,4,9,0,1993,98022,47.1593,-121.957
660000,4,2.5,3170,186436,2,3,9,0,2000,98038,47.4475,-122.034
475000,3,2.5,2630,185130,2,3,9,0,1991,98014,47.7035,-121.894
540500,3,2,2800,185130,1,3,8,480,1996,98038,47.4133,-122.006
1.06E+06,2,1.5,2370,184231,2,3,11,0,2005,98045,47.4543,-121.778
410000,5,2.5,2670,184140,1,3,8,1260,1980,98042,47.3429,-122.097
850000,4,3,2720,183823,2,3,8,0,1975,98053,47.6749,-122.002
975000,4,2.5,3420,183387,2,3,10,0,2000,98053,47.633,-121.972
1.39E+06,4,3.25,4860,181319,2.5,3,9,0,1993,98074,47.6179,-122.005
400000,4,2.5,3030,180263,2,3,7,1000,1987,98092,47.2953,-122.097
774950,4,2.5,3410,179419,2,3,10,0,2004,98010,47.3602,-121.986
300000,4,1,1730,177657,1.5,3,5,0,1948,98065,47.5163,-121.829
468000,4,2.5,2480,176418,1.5,5,8,0,1927,98022,47.1941,-122.038
635000,3,2.25,2680,175982,1,3,9,0,2004,98038,47.4487,-122.033
792500,4,2.5,4290,175421,2,3,10,0,2004,98010,47.3585,-121.988
563500,4,1.75,2085,174240,1,3,7,475,1964,98024,47.5753,-121.95
724950,4,3.5,3010,174240,2,3,9,0,2004,98045,47.4775,-121.691
1.20E+06,4,3.5,4740,172497,2,3,11,0,2003,98053,47.6779,-122.075
1.55E+06,5,4.25,6070,171626,2,3,12,0,1999,98024,47.5954,-121.95
275000,3,1,1230,171190,1,3,7,0,1973,98070,47.4397,-122.46
306000,5,2,1460,169448,1.5,3,6,0,1910,98030,47.3714,-122.177
550000,3,2.5,2920,169448,2.5,3,9,0,1990,98022,47.2492,-121.975
750000,3,2.25,3270,168000,2,4,10,0,1982,98056,47.5197,-122.191
1.95E+06,4,3.25,7420,167869,2,3,12,0,2002,98045,47.4548,-121.764
713900,3,2.5,3370,167706,1,3,10,0,2000,98038,47.4379,-122.022
610000,3,2.5,2080,167270,1,3,7,0,2000,98038,47.4032,-121.963
635000,3,1.75,1940,167125,1,4,7,460,1955,98070,47.459,-122.504
760000,4,2.5,3300,165528,2,3,8,0,1984,98077,47.7657,-122.028
349990,3,1,1350,165092,1,5,6,0,1925,98022,47.2217,-122.063
370000,3,1.5,1690,161913,1,2,7,260,1952,98030,47.356,-122.189
513000,3,2.5,2150,161607,2,3,7,820,1995,98038,47.4178,-121.937
385000,2,1.5,1370,159865,1,3,7,0,1960,98072,47.7592,-122.092
362950,4,1.75,2140,159865,1,4,7,1000,1960,98031,47.4235,-122.218
625700,3,2,2570,159865,1,5,7,0,1968,98024,47.5547,-121.892
800000,4,3.25,3540,159430,2,3,9,0,2007,98014,47.6285,-121.899
280000,2,1.75,1610,158558,1.5,2,6,0,1948,98065,47.5319,-121.84
555000,3,2.5,3050,158558,1,4,9,0,1987,98055,47.4326,-122.208
790000,4,3,3120,157875,2,4,8,0,1977,98058,47.444,-122.187
503000,4,2.5,2940,156988,2,3,9,1070,1996,98014,47.6214,-121.946
495000,3,2.5,2577,156816,2,3,8,0,2000,98092,47.2935,-122.108
760000,4,2.5,3600,155509,2,3,9,0,2004,98010,47.3538,-121.986
750000,2,2,2370,155130,1,3,7,0,1970,98019,47.7388,-121.972
385000,3,1.75,1350,155073,1,4,7,0,1969,98038,47.4058,-121.994
585000,3,1.75,2170,153767,1,3,7,0,1976,98042,47.3694,-122.065
720000,3,2.5,3150,151588,2,3,9,0,2007,98024,47.572,-121.926
838000,3,3.75,2930,150945,2,3,8,0,1972,98058,47.4658,-122.115
730000,4,2.75,3660,150282,2,3,10,0,1990,98053,47.6813,-122.048
865000,3,2.25,2670,150270,2,3,9,0,1985,98072,47.7601,-122.134
475000,3,1,1250,150117,1,3,7,0,1975,98075,47.5956,-122.009
535000,3,1.75,2720,149410,1.5,3,9,0,1988,98014,47.7092,-121.892
452000,3,2,2270,148975,1,4,6,1000,1900,98056,47.5092,-122.195
760000,3,2.5,4040,147856,2,3,9,0,2004,98092,47.2711,-122.067
435000,3,2.5,1778,147823,2,3,7,0,1999,98014,47.6811,-121.915
465000,3,1,1100,145490,1.5,4,6,0,1915,98024,47.5697,-121.898
830000,3,3.5,3820,145054,2,3,9,950,1999,98045,47.4419,-121.736
425000,3,1.75,1610,144619,1,3,7,0,1977,98024,47.5659,-121.863
465000,3,2.5,1920,144619,1,3,8,0,2014,98022,47.2683,-121.946
425000,3,2.5,2650,144183,1,3,8,0,1967,98042,47.4212,-122.144
517534,2,1,833,143947,1,3,5,0,2006,98070,47.3889,-122.482
299000,3,1,1510,142803,1,3,7,0,1974,98001,47.3192,-122.287
1.61E+06,5,4.5,6085,142725,3,3,11,0,2000,98014,47.6085,-121.952
1.09E+06,4,2.5,4340,141570,2.5,3,11,0,1992,98053,47.6805,-122.048
413000,3,1.75,2280,139392,1,3,8,0,1977,98092,47.291,-122.118
565000,4,2.75,3130,139392,2,4,9,0,1981,98030,47.3535,-122.19
605000,3,2.5,2460,138085,2,4,9,0,1977,98027,47.4572,-122.007
437000,5,2,2120,137565,1.5,3,7,0,1913,98070,47.4558,-122.507
320000,4,1.5,1310,137214,1.5,4,7,0,1926,98198,47.362,-122.316
710000,3,3.25,3740,136915,2.5,3,11,640,1990,98166,47.4549,-122.363
650000,2,1.5,1440,136778,1,4,8,300,1956,98072,47.7608,-122.118
545000,3,2.5,3550,136343,2,3,10,0,1977,98014,47.6223,-121.869
718000,3,1.75,4060,136290,1,3,8,1250,1995,98045,47.4843,-121.719
